inventory_id,dealer_id,product_id,stock_level,reorder_threshold,last_restock_date,last_sold_date,location,daily_consumption_rate,avg_monthly_demand,supplier_lead_time,order_quantity,days_since_restock,days_since_last_sold,safety_stock_level,historical_sales,stock_reorder_flag,stock_value
30,335,7461,41,57,2025-01-06 06:08:32.792745,2025-02-03 06:08:32.866859,Store X,3.27,98,5,178,47,19,24,864,1,2842.81
31,444,7166,3,13,2024-12-29 06:08:32.792751,2025-01-20 06:08:32.866868,Store Y,0.84,25,8,194,55,33,10,4952,1,296.84
32,148,7967,275,87,2025-01-27 06:08:32.792756,2025-01-24 06:08:32.866878,Store X,2.79,83,19,144,26,29,79,4819,0,20473.84
33,158,9101,283,90,2025-02-09 06:08:32.792762,2025-02-14 06:08:32.866886,Store Y,2.24,67,6,70,13,8,20,3777,0,7402.99
34,269,8379,423,30,2025-02-15 06:08:32.792768,2025-02-13 06:08:32.866895,Distribution Hub,2.9,87,27,24,7,9,117,2523,0,16008.53
35,287,8280,192,89,2025-01-19 06:08:32.792773,2024-12-26 06:08:32.866905,Warehouse A,1.94,58,27,115,34,58,78,3926,0,4007.13
36,370,2067,103,99,2025-01-31 06:08:32.792778,2025-02-17 06:08:32.866914,Store Y,3.07,92,7,18,22,5,32,3340,0,8949.74
37,289,5223,246,18,2024-11-30 06:08:32.792784,2025-02-06 06:08:32.866923,Store X,0.87,26,21,69,84,16,27,2620,0,20998.3
38,274,5607,299,75,2025-01-30 06:08:32.792789,2025-02-08 06:08:32.866932,Store Y,2.19,65,6,65,23,14,19,1980,0,27445.47
39,150,4985,22,88,2025-01-05 06:08:32.792795,2025-01-21 06:08:32.866942,Distribution Hub,1.57,47,17,152,48,32,40,2844,1,1488.89
40,463,4179,440,44,2025-02-08 06:08:32.792800,2024-12-29 06:08:32.866951,Distribution Hub,2.47,74,12,94,14,55,44,4843,0,13438.48
41,154,5538,302,97,2024-11-27 06:08:32.792805,2024-12-26 06:08:32.866961,Distribution Hub,2.29,68,24,114,87,58,82,4877,0,27235.7
42,343,3362,12,60,2025-01-01 06:08:32.792811,2024-12-31 06:08:32.866972,Warehouse A,3.34,100,23,97,52,53,115,1862,1,370.89
43,419,3224,143,87,2024-12-01 06:08:32.792817,2025-02-10 06:08:32.866981,Distribution Hub,3.33,99,14,16,83,12,69,1449,0,5932.69
44,230,7371,217,46,2025-01-14 06:08:32.792822,2025-01-12 06:08:32.866990,Warehouse A,2.36,70,11,33,39,41,38,1063,0,1535.9
45,406,2726,182,15,2025-01-12 06:08:32.792828,2025-01-10 06:08:32.867000,Warehouse B,1.32,39,8,66,41,43,15,527,0,10903.65
46,234,6791,350,91,2025-01-17 06:08:32.792833,2024-12-30 06:08:32.867009,Store Y,3.12,93,22,73,36,54,102,130,0,16232.69
47,120,9073,241,95,2025-02-16 06:08:32.792838,2025-02-01 06:08:32.867018,Store X,4.85,145,7,34,6,21,50,1464,0,16038.66
48,428,9458,192,91,2025-01-30 06:08:32.792844,2025-02-07 06:08:32.867027,Warehouse A,1.33,39,19,171,23,15,37,571,0,18615.29
49,266,8013,464,60,2025-02-12 06:08:32.792849,2025-01-20 06:08:32.867035,Warehouse A,0.81,24,24,63,10,33,29,1754,0,4844.98
50,373,1837,271,75,2024-11-29 06:08:32.792855,2025-02-20 06:08:32.867043,Store X,1.69,50,21,95,85,2,53,4013,0,3710.2
51,487,5584,374,26,2024-12-24 06:08:32.792860,2025-02-15 06:08:32.867052,Store Y,2.36,70,28,43,60,7,99,490,0,21913.16
52,188,1686,164,74,2025-01-23 06:08:32.792866,2025-02-03 06:08:32.867061,Distribution Hub,1.88,56,12,165,30,19,33,2557,0,16367.18
53,415,1356,179,18,2024-12-14 06:08:32.792871,2025-01-07 06:08:32.867069,Store Y,4.26,127,25,10,70,46,159,4447,0,5792.36
54,113,5647,116,22,2025-02-17 06:08:32.792877,2025-01-30 06:08:32.867079,Warehouse A,2.72,81,19,117,5,23,77,1201,0,6491.67
55,341,5418,265,67,2024-12-05 06:08:32.792882,2025-01-03 06:08:32.867088,Distribution Hub,1.61,48,17,46,79,50,41,2474,0,6453.46
56,364,7642,377,39,2024-12-27 06:08:32.792888,2025-02-05 06:08:32.867097,Warehouse B,4.78,143,18,39,57,17,129,4340,0,20857.44
57,445,4391,37,40,2025-01-10 06:08:32.792893,2025-01-31 06:08:32.867106,Store X,1.06,31,26,123,43,22,41,4850,1,829.54
58,152,5357,43,32,2025-01-01 06:08:32.792899,2025-02-22 06:08:32.867119,Store Y,1.05,31,8,162,52,0,12,569,0,938.53
59,485,5879,350,72,2024-11-25 06:08:32.792905,2024-12-26 06:08:32.867129,Distribution Hub,1.6,48,15,197,89,58,36,3837,0,13011.26
60,439,6319,73,37,2024-12-07 06:08:32.792910,2025-01-03 06:08:32.867138,Store X,0.85,25,7,139,77,50,8,3669,0,6881.26
61,191,3739,437,68,2025-02-16 06:08:32.792915,2025-02-21 06:08:32.867146,Store Y,3.88,116,23,165,6,1,133,1435,0,29561.84
62,466,5784,368,19,2025-02-20 06:08:32.792921,2025-02-18 06:08:32.867154,Warehouse A,1.91,57,17,57,2,4,48,1211,0,14833.68
63,363,1877,225,98,2025-02-05 06:08:32.792926,2025-02-05 06:08:32.867162,Warehouse A,3.78,113,8,165,17,17,45,2233,0,14776.64
64,134,3870,306,99,2024-11-26 06:08:32.792932,2025-02-07 06:08:32.867170,Warehouse A,3.93,117,17,111,88,15,100,2110,0,7329.4
65,305,1292,307,35,2025-02-10 06:08:32.792941,2025-02-13 06:08:32.867179,Warehouse B,1.57,47,19,33,12,9,44,3086,0,20126.74
66,180,9728,453,86,2025-01-09 06:08:32.792950,2025-01-01 06:08:32.867188,Warehouse A,2.83,84,10,155,44,52,42,2795,0,41867.97
67,149,3686,347,26,2024-12-30 06:08:32.792959,2025-01-25 06:08:32.867196,Warehouse A,2.84,85,22,29,54,28,93,1505,0,32621.29
68,459,1233,475,49,2024-12-06 06:08:32.792967,2025-01-19 06:08:32.867206,Warehouse A,4.42,132,26,77,78,34,172,1445,0,28839.88
69,487,3374,314,77,2025-02-15 06:08:32.792976,2025-01-29 06:08:32.867216,Distribution Hub,0.62,18,12,17,7,24,11,2647,0,27808.4
70,101,3272,12,32,2025-01-21 06:08:32.792985,2025-01-12 06:08:32.867224,Store X,1.93,57,13,99,32,41,37,3370,1,501.53
71,489,1966,424,44,2025-01-24 06:08:32.792991,2024-12-28 06:08:32.867233,Warehouse B,4.47,134,24,65,29,56,160,3582,0,37791.36
72,153,1889,11,84,2025-01-07 06:08:32.792996,2025-01-30 06:08:32.867242,Store Y,1.57,47,25,70,46,23,58,107,1,404.21
73,205,4863,49,85,2024-12-11 06:08:32.793002,2025-02-10 06:08:32.867250,Warehouse B,1.12,33,28,48,73,12,47,3230,1,3518.11
74,359,7154,487,18,2024-12-06 06:08:32.793007,2025-02-02 06:08:32.867257,Store X,3.09,92,6,27,78,20,27,4689,0,44948.43
75,409,4400,312,88,2024-12-31 06:08:32.793012,2025-01-12 06:08:32.867265,Warehouse A,1.88,56,14,106,53,41,39,2285,0,18306.93
76,290,9226,433,54,2024-12-03 06:08:32.793018,2025-01-11 06:08:32.867273,Warehouse A,2.6,78,6,68,81,42,23,4723,0,13460.01
77,317,5542,248,46,2025-01-28 06:08:32.793025,2025-01-15 06:08:32.867282,Store Y,4.19,125,13,155,25,38,81,3430,0,17683.33
78,143,4523,118,78,2024-12-31 06:08:32.793034,2025-01-20 06:08:32.867292,Warehouse B,2.84,85,26,107,53,33,110,3834,0,1854.05
79,261,2763,56,28,2025-01-24 06:08:32.793043,2025-02-04 06:08:32.867300,Warehouse B,2.82,84,13,51,29,18,54,613,0,2119.41
80,301,4291,181,84,2024-12-02 06:08:32.793052,2025-01-26 06:08:32.867309,Store Y,1.75,52,17,62,82,27,44,418,0,16309.64
81,369,3488,449,82,2024-12-01 06:08:32.793061,2025-01-27 06:08:32.867318,Warehouse B,4.07,122,14,42,83,26,85,4744,0,33682.2
82,450,2558,263,36,2024-12-03 06:08:32.793070,2025-01-04 06:08:32.867327,Warehouse B,3.83,114,11,30,81,49,63,288,0,2680.3
83,403,5690,105,22,2025-02-16 06:08:32.793079,2025-01-28 06:08:32.867335,Warehouse B,1.55,46,17,197,6,25,39,1439,0,6248.48
84,370,7121,190,66,2024-12-08 06:08:32.793089,2025-02-12 06:08:32.867345,Store Y,1.94,58,9,151,76,10,26,449,0,5430.22
85,314,3276,136,69,2025-01-15 06:08:32.793098,2025-01-05 06:08:32.867354,Store Y,4.05,121,16,42,38,48,97,3580,0,854.77
86,351,5439,187,21,2025-02-19 06:08:32.793107,2025-01-19 06:08:32.867363,Store X,2.11,63,13,141,3,34,41,4242,0,5684.59
87,289,2103,119,18,2025-01-18 06:08:32.793115,2025-02-03 06:08:32.867371,Warehouse B,2.32,69,13,180,35,19,45,1972,0,9344.87
88,395,8520,241,86,2024-12-29 06:08:32.793123,2025-02-11 06:08:32.867379,Store X,2.14,64,22,139,55,11,70,3723,0,10417.32
89,312,6409,318,93,2025-01-06 06:08:32.793128,2024-12-28 06:08:32.867388,Distribution Hub,1.23,36,28,49,47,56,51,1078,0,9621.42
90,307,8869,71,86,2025-01-20 06:08:32.793133,2025-01-26 06:08:32.867397,Distribution Hub,2.03,60,12,59,33,27,36,3407,1,7092.73
91,336,3956,242,36,2025-02-19 06:08:32.793139,2025-02-21 06:08:32.867406,Warehouse B,4.11,123,22,72,3,1,135,3320,0,14474.2
92,437,8710,130,99,2024-12-15 06:08:32.793144,2024-12-28 06:08:32.867414,Warehouse A,2.71,81,14,186,69,56,56,362,0,3391.24
93,466,7017,456,72,2024-12-25 06:08:32.793153,2025-02-22 06:08:32.867423,Distribution Hub,2.56,76,27,119,59,0,103,4901,0,11069.89
94,152,4384,268,38,2024-12-06 06:08:32.793163,2025-02-14 06:08:32.867432,Warehouse A,1.2,36,5,103,78,8,9,2918,0,3969.91
95,379,1028,392,31,2025-02-04 06:08:32.793171,2025-02-01 06:08:32.867441,Store X,1.3,39,25,73,18,21,48,3596,0,24740.37
96,316,9897,478,82,2024-12-07 06:08:32.793178,2024-12-29 06:08:32.867449,Warehouse B,0.69,20,25,187,77,55,25,4447,0,42319.25
97,351,8756,472,97,2024-12-18 06:08:32.793184,2025-01-03 06:08:32.867457,Store X,0.56,16,14,147,66,50,11,1374,0,40919.37
98,287,7948,51,28,2025-01-28 06:08:32.793189,2025-01-14 06:08:32.867465,Store X,2.7,81,9,94,25,39,36,152,0,4808.78
99,479,6755,491,47,2025-02-02 06:08:32.793194,2025-01-27 06:08:32.867474,Store Y,2.34,70,22,123,20,26,77,3341,0,3531.88
100,140,4602,61,48,2024-12-13 06:08:32.793199,2025-02-14 06:08:32.867483,Warehouse B,1.74,52,23,125,71,8,60,2156,0,3557.82
101,256,6062,118,24,2024-12-09 06:08:32.793205,2025-02-16 06:08:32.867495,Store Y,4.96,148,17,160,75,6,126,3669,0,10868.23
102,114,9071,364,63,2024-12-15 06:08:32.793210,2025-01-18 06:08:32.867509,Store X,2.29,68,10,46,69,35,34,930,0,32952.39
103,400,8244,263,41,2025-01-24 06:08:32.793215,2024-12-31 06:08:32.867524,Warehouse A,4.05,121,21,81,29,53,127,4403,0,8085.37
104,164,7372,238,55,2025-02-04 06:08:32.793220,2025-01-06 06:08:32.867538,Warehouse B,1.45,43,26,147,18,47,56,4951,0,12538.99
105,444,8105,350,70,2024-12-12 06:08:32.793226,2025-01-16 06:08:32.867552,Warehouse B,1.61,48,18,162,72,37,43,2737,0,4939.81
106,426,4581,380,61,2025-01-26 06:08:32.793231,2025-01-04 06:08:32.867566,Distribution Hub,3.06,91,10,42,27,49,45,3640,0,11798.42
107,108,3762,254,43,2025-01-11 06:08:32.793236,2025-02-21 06:08:32.867581,Warehouse A,0.52,15,27,26,42,1,21,954,0,25206.53
108,443,1572,172,82,2024-12-18 06:08:32.793244,2025-01-11 06:08:32.867595,Warehouse A,0.58,17,29,124,66,42,25,1199,0,10420.52
109,228,8705,308,44,2025-01-27 06:08:32.793249,2025-02-18 06:08:32.867609,Store X,1.14,34,20,33,26,4,34,1639,0,30763.43
110,235,1614,236,79,2025-01-30 06:08:32.793255,2025-02-06 06:08:32.867626,Store X,1.5,45,13,186,23,16,29,3223,0,1550.99
111,162,5050,318,46,2025-02-17 06:08:32.793261,2025-01-17 06:08:32.867641,Store X,2.88,86,8,39,5,36,34,920,0,30934.69
112,238,1325,94,87,2024-12-04 06:08:32.793266,2024-12-27 06:08:32.867656,Distribution Hub,3.59,107,22,74,80,57,118,3978,0,3630.45
113,180,4740,336,70,2025-02-11 06:08:32.793271,2025-01-19 06:08:32.867670,Warehouse A,1.9,57,9,135,11,34,25,1495,0,4326.7
114,491,1358,494,58,2025-02-03 06:08:32.793276,2025-01-03 06:08:32.867685,Store Y,1.58,47,5,90,19,50,11,3714,0,6673.51
115,262,4777,56,18,2024-12-04 06:08:32.793282,2025-02-15 06:08:32.867699,Warehouse A,4.2,126,19,37,80,7,119,3948,0,2109.61
116,388,6906,437,28,2025-02-10 06:08:32.793287,2025-01-11 06:08:32.867713,Store Y,1.23,36,16,22,12,42,29,4729,0,21849.87
117,478,2721,402,96,2025-02-20 06:08:32.793292,2025-02-20 06:08:32.867729,Warehouse B,3.55,106,18,194,2,2,95,4615,0,5266.57
118,360,2349,66,37,2025-01-10 06:08:32.793297,2025-02-20 06:08:32.867743,Store Y,4.69,140,25,197,43,2,175,3777,0,5669.17
119,330,4696,45,89,2025-01-31 06:08:32.793302,2025-02-22 06:08:32.867757,Warehouse B,1.54,46,16,147,22,0,36,3863,1,2302.62
120,140,4896,93,35,2025-01-27 06:08:32.793308,2025-01-30 06:08:32.867772,Store X,0.89,26,17,93,26,23,22,4716,0,3689.11
121,127,5260,137,47,2025-01-20 06:08:32.793317,2025-01-09 06:08:32.867789,Warehouse A,4.91,147,7,144,33,44,51,940,0,7472.53
122,234,7941,368,49,2025-01-29 06:08:32.793327,2025-01-24 06:08:32.867807,Store X,1.72,51,18,197,24,29,46,1113,0,18884.58
123,300,4808,92,34,2024-12-15 06:08:32.793336,2025-01-12 06:08:32.867822,Warehouse A,1.74,52,27,72,69,41,70,3491,0,1361.71
124,427,6246,231,78,2025-02-01 06:08:32.793346,2025-01-28 06:08:32.867837,Store Y,2.68,80,11,35,21,25,44,2367,0,2255.02
125,367,9384,401,80,2025-01-07 06:08:32.793353,2025-01-16 06:08:32.867851,Warehouse A,1.54,46,7,126,46,37,16,1267,0,27856.35
126,132,4845,395,32,2025-02-04 06:08:32.793358,2025-01-11 06:08:32.867867,Store Y,4.97,149,25,47,18,42,186,1480,0,20273.93
127,147,3577,48,98,2025-02-17 06:08:32.793364,2025-01-14 06:08:32.867881,Warehouse A,0.69,20,13,63,5,39,13,3412,1,351.74
128,161,1091,22,74,2025-02-14 06:08:32.793369,2025-01-03 06:08:32.867896,Warehouse B,2.53,75,8,54,8,50,30,604,1,1503.54
129,315,5234,61,31,2024-11-29 06:08:32.793374,2025-01-11 06:08:32.867911,Store Y,2.97,89,6,121,85,42,26,1065,0,4394.35
130,392,9672,266,73,2024-12-27 06:08:32.793380,2025-01-16 06:08:32.867928,Store X,2.6,78,7,195,57,37,27,4546,0,25842.4
131,198,7592,328,77,2025-02-17 06:08:32.793386,2025-01-10 06:08:32.867943,Store X,2.84,85,5,178,5,43,21,347,0,21271.63
132,271,9128,117,67,2025-02-09 06:08:32.793391,2025-01-04 06:08:32.867952,Store X,4.94,148,9,182,13,49,66,2154,0,3641.86
133,459,2075,439,37,2024-12-01 06:08:32.793397,2025-02-20 06:08:32.867961,Store X,4.45,133,13,171,83,2,86,259,0,12150.41
134,313,3513,87,87,2024-12-18 06:08:32.793402,2025-02-10 06:08:32.867970,Warehouse B,1.89,56,22,85,66,12,62,3137,0,4216.06
135,134,9168,88,77,2025-01-16 06:08:32.793408,2025-01-18 06:08:32.867979,Warehouse B,2.98,89,17,67,37,35,75,4109,0,1212.21
136,326,7861,54,84,2025-01-24 06:08:32.793413,2025-01-13 06:08:32.867988,Distribution Hub,0.5,15,23,88,29,40,17,836,1,2814.44
137,200,9990,152,13,2024-12-15 06:08:32.793419,2025-01-06 06:08:32.867997,Distribution Hub,2.34,70,23,147,69,47,80,445,0,5494.14
138,230,1604,238,10,2025-01-21 06:08:32.793424,2025-02-11 06:08:32.868006,Distribution Hub,1.24,37,11,135,32,11,20,2102,0,19953.45
139,356,3979,264,35,2025-01-05 06:08:32.793430,2025-02-03 06:08:32.868015,Distribution Hub,3.7,111,11,99,48,19,61,3428,0,18749.28
140,104,8140,267,42,2025-02-20 06:08:32.793435,2025-01-15 06:08:32.868024,Warehouse A,1.49,44,19,154,2,38,42,855,0,7845.61
141,317,8065,394,90,2024-12-15 06:08:32.793440,2025-01-10 06:08:32.868034,Store Y,3.87,116,21,70,69,43,121,4983,0,19880.91
142,354,5916,112,36,2025-01-02 06:08:32.793445,2025-02-15 06:08:32.868043,Store X,1.91,57,7,129,51,7,20,2569,0,8187.52
143,497,7800,165,51,2025-01-18 06:08:32.793451,2025-01-01 06:08:32.868053,Warehouse A,4.67,140,21,20,35,52,147,3918,0,3537.34
144,458,1597,155,78,2024-12-01 06:08:32.793456,2025-01-07 06:08:32.868063,Warehouse B,2.5,75,29,154,83,46,108,569,0,15043.7
145,382,8320,7,80,2025-02-07 06:08:32.793462,2025-02-21 06:08:32.868072,Store X,4.28,128,27,24,15,1,173,2965,1,95.99
146,492,9705,201,73,2024-12-12 06:08:32.793467,2025-02-12 06:08:32.868081,Store Y,3.33,99,18,13,72,10,89,730,0,19207.62
147,306,6622,216,34,2024-12-19 06:08:32.793472,2024-12-29 06:08:32.868091,Store Y,4.9,147,9,98,65,55,66,4970,0,1422.51
148,114,2877,430,81,2025-01-15 06:08:32.793478,2025-02-02 06:08:32.868100,Warehouse B,3.84,115,11,190,38,20,63,3932,0,21899.07
149,445,2699,291,13,2024-11-28 06:08:32.793485,2025-01-17 06:08:32.868110,Store X,3.77,113,23,184,86,36,130,4464,0,9421.17
150,141,6780,380,21,2025-02-05 06:08:32.793495,2024-12-30 06:08:32.868121,Distribution Hub,1.69,50,23,55,17,54,58,2513,0,36832.13
151,479,1716,49,67,2024-12-04 06:08:32.793504,2025-02-17 06:08:32.868130,Store X,2.77,83,5,166,80,5,20,285,1,4227.5
152,278,5086,106,20,2025-01-08 06:08:32.793511,2025-02-04 06:08:32.868139,Store X,1.81,54,25,40,45,18,67,935,0,9618.84
153,162,1665,8,68,2025-02-21 06:08:32.793519,2025-01-24 06:08:32.868147,Store Y,0.59,17,27,82,1,29,23,4154,1,413.7
154,451,8846,232,45,2025-02-19 06:08:32.793528,2025-01-08 06:08:32.868156,Warehouse B,3.7,111,23,57,3,45,127,3450,0,3491.89
155,330,7611,187,31,2024-12-14 06:08:32.793537,2025-01-15 06:08:32.868165,Store X,1.56,46,25,193,70,38,58,1191,0,5325.75
156,340,2079,455,74,2025-01-01 06:08:32.793546,2025-01-10 06:08:32.868174,Warehouse A,2.29,68,21,140,52,43,72,2021,0,25223.79
157,151,9419,322,59,2024-12-31 06:08:32.793555,2025-01-05 06:08:32.868184,Warehouse A,1.78,53,27,13,53,48,72,3153,0,13508.61
158,195,9340,308,13,2025-02-19 06:08:32.793564,2025-01-18 06:08:32.868194,Warehouse B,1.4,42,19,28,3,35,39,3599,0,11127.65
159,487,2069,337,81,2025-01-06 06:08:32.793570,2025-02-03 06:08:32.868204,Distribution Hub,0.8,24,12,178,47,19,14,4281,0,11379.22
160,321,6263,109,98,2024-12-09 06:08:32.793575,2024-12-31 06:08:32.868213,Store X,2.02,60,12,159,75,53,36,598,0,2969.81
161,330,8951,482,61,2024-11-28 06:08:32.793580,2024-12-31 06:08:32.868222,Store X,0.87,26,5,124,86,53,6,3998,0,27041.74
162,336,2363,144,52,2025-02-16 06:08:32.793585,2025-02-13 06:08:32.868231,Store Y,2.93,87,24,34,6,9,105,3215,0,10134.9
163,242,5508,227,55,2025-01-07 06:08:32.793591,2025-01-30 06:08:32.868240,Store X,0.59,17,13,141,46,23,11,4260,0,16038.43
164,270,2755,308,13,2024-12-23 06:08:32.793596,2024-12-25 06:08:32.868248,Distribution Hub,4.73,141,6,62,61,59,42,1069,0,2847.18
165,128,1519,411,22,2025-01-10 06:08:32.793603,2025-01-21 06:08:32.868257,Store X,4.85,145,5,188,43,32,36,4059,0,3107.2
166,135,6463,113,47,2024-12-28 06:08:32.793609,2025-01-25 06:08:32.868265,Store X,1.87,56,20,14,56,28,56,3589,0,1501.46
167,112,8233,62,54,2024-12-14 06:08:32.793614,2024-12-30 06:08:32.868275,Store Y,1.67,50,26,59,70,54,65,514,0,414.51
168,259,2102,398,34,2025-02-02 06:08:32.793619,2025-01-24 06:08:32.868284,Warehouse A,0.97,29,17,187,20,29,24,4849,0,18641.92
169,426,1597,274,76,2025-01-06 06:08:32.793624,2025-01-18 06:08:32.868292,Warehouse A,4.57,137,15,68,47,35,102,2455,0,2767.06
170,286,4273,123,64,2024-12-30 06:08:32.793630,2025-01-09 06:08:32.868300,Distribution Hub,3.14,94,5,102,54,44,23,4051,0,5705.35
171,342,6781,85,48,2025-01-12 06:08:32.793635,2025-02-17 06:08:32.868309,Warehouse B,3.25,97,10,158,41,5,48,2806,0,3145.48
172,185,7256,69,74,2024-12-09 06:08:32.793640,2024-12-27 06:08:32.868318,Warehouse B,4.53,135,5,88,75,57,33,4561,1,729.18
173,383,8258,46,84,2024-12-18 06:08:32.793645,2025-01-07 06:08:32.868327,Store Y,4.6,138,10,160,66,46,69,4443,1,600.31
174,165,9780,198,11,2025-01-22 06:08:32.793651,2025-02-09 06:08:32.868338,Store X,4.23,126,13,90,31,13,82,2887,0,15512.97
175,269,7554,363,78,2024-12-20 06:08:32.793657,2024-12-28 06:08:32.868347,Store Y,3.98,119,17,140,64,56,101,1601,0,26797.8
176,144,9002,431,95,2024-12-26 06:08:32.793662,2025-02-20 06:08:32.868357,Warehouse A,4.45,133,20,59,58,2,133,3486,0,13870.64
177,161,5846,200,71,2024-12-29 06:08:32.793667,2025-01-30 06:08:32.868366,Distribution Hub,4.44,133,25,63,55,23,166,2233,0,3467.66
178,233,5798,275,55,2025-01-07 06:08:32.793673,2025-02-04 06:08:32.868375,Warehouse B,2.16,64,24,100,46,18,77,2712,0,10684.37
179,383,7605,36,86,2025-01-29 06:08:32.793678,2025-01-16 06:08:32.868383,Store X,4.88,146,28,153,24,37,204,4517,1,1835.25
180,127,3986,202,96,2024-12-07 06:08:32.793683,2025-01-20 06:08:32.868393,Warehouse B,3.69,110,8,15,77,33,44,4490,0,10939.42
181,207,1400,129,40,2024-11-25 06:08:32.793688,2025-02-14 06:08:32.868403,Warehouse A,2.17,65,24,50,89,8,78,636,0,946.28
182,143,3855,447,44,2025-01-16 06:08:32.793694,2025-01-24 06:08:32.868412,Store X,2.49,74,15,191,37,29,56,912,0,27756.91
183,439,4412,469,54,2025-01-12 06:08:32.793699,2025-01-22 06:08:32.868421,Warehouse A,3.59,107,17,19,41,31,91,4035,0,30420.75
